,flat_street,flat_price,flat_room_count,flat_area,flat_district
4912,"Проспект Лісовий, 19",5300,1,24.0,Деснянський
4913,"Червоної Калини просп. (Маяковського Володимира), 4Г",6499,1,30.0,Деснянський
4914,"Микільсько-Слобідська вул., 4б",5000,1,32.0,Дніпровський
4915,"Микільсько-Слобідська вул., 3а",33300,2,73.0,Дніпровський
4916,"Старонаводницька вул., 6б",33300,2,83.0,Печерський
4917,"Верховної Ради бульв., 27а",7000,2,47.0,Дніпровський
4918,"Данила Щербаківського вул. (Щербакова), 68",9000,1,32.0,Шевченківський
4919,"Алли Горської пров. (Бєлінського Чеслава), 5",33300,3,109.0,Шевченківський
4920,"Тарасівська вул., 16",48100,2,74.0,Голосіївський
4922,"Лисогірський пров., 20",23000,2,60.0,Голосіївський
4923,"Білоруська вул., 36а",29500,2,53.0,Шевченківський
4924,"Ахматової Анни вул., 22",18000,1,46.0,Дарницький
4925,"Юлії Здановської вул. (Ломоносова), 73а",30000,2,80.0,Голосіївський
4926,"Лесі Українки бульв., 7б",32000,3,130.0,Печерський
4927,"Дніпровська наб., 19",18000,3,105.0,Дарницький
4928,"Дніпровська наб., 18а",37000,3,90.0,Дарницький
4929,"Кирилівська вул. (Фрунзе), 37",20000,1,42.0,Подільський
4930,"Драгомирова вул., 17в",33300,1,46.0,Печерський
4931,"Оболонський просп., 26",33300,2,65.0,Оболонський
4932,"Бульварно-Кудрявська вул. (Воровського), 7б",40000,3,100.0,Шевченківський
4933,"Велика Васильківська вул., 20",23000,3,90.0,Шевченківський
4934,"Дегтярівська вул., 11в",10500,1,20.0,Шевченківський
4935,"вул. Тарасівська, 3",28000,4,125.0,Голосіївський
4936,"Крамського Івана вул., 9",30000,3,101.0,Святошинський
4937,"Пирогова вул., 2",17000,2,56.0,Шевченківський
4938,"Героїв полку ""Азов"" вул. (Малиновського маршала), 4",8000,2,52.0,Оболонський
4939,"Липківского Василя вул. (Урицького), 38а",22000,2,45.0,Солом'янський
4940,"Гетьмана Вадима вул., 1в",17000,2,68.0,Солом'янський
4941,"Данькевича Костянтина вул., 17",6000,2,51.0,Деснянський
4942,"Лисенка вул., 4",55500,2,75.0,Шевченківський
4943,"Мокра вул. (Кудряшова), 16",14500,1,56.0,Солом'янський
4944,"Драгоманова вул., 23а",14000,2,55.0,Дарницький
4945,"Николая Голего вул. (Лебедєва-Кумача), 6",15000,3,105.0,Солом'янський
4946,"Освіти вул., 3а",15000,1,50.0,Солом'янський
4948,"Любомира Гузара просп. (Комарова), 9б",12000,1,30.0,Солом'янський
4949,"Донця Михайла вул., 27",10000,2,45.0,Солом'янський
4950,"Ревуцького вул., 40Б",16000,2,45.0,Дарницький
4952,"Салютна вул., 1б",40700,3,102.0,Шевченківський
